swimmerID|event|date|time|season|points
162958|100 Y Breast|2014-02-01|1:00.16|2014|575477595
162958|200 Y Breast|2014-02-01|2:11.34|2014|557862380
162958|200 Y IM|2014-02-01|2:00.87|2014|555829267
162958|100 Y Breast|2014-01-18|1:04.77|2014|461137257
162958|100 Y Breast|2013-11-16|1:04.07|2014|476417528
162958|50 Y Free|2013-11-02|23.90|2014|441591252
162958|100 Y Breast|2013-11-02|1:03.53|2014|488669616
162958|100 Y Breast|2013-01-19|1:02.43|2013|514958105
162958|200 Y Breast|2013-01-19|2:18.38|2013|476977763
166344|100 Y Back|2014-02-22|52.01|2014|584665761
166344|50 Y Free|2014-02-15|21.88|2014|575535625
166344|50 Y Back|2014-02-15|23.63|2014|624687684
166344|100 Y Back|2014-02-15|51.10|2014|616460881
166344|100 Y Fly|2014-02-15|50.11|2014|669635437
166344|50 Y Back|2014-02-01|24.90|2014|533895262
166344|100 Y Back|2014-02-01|53.54|2014|535960918
166344|100 Y Back|2014-01-18|55.20|2014|489047440
166344|100 Y Fly|2014-01-18|53.15|2014|561179541
166344|50 Y Free|2013-12-06|21.77|2014|584304023
166344|100 Y Free|2013-12-07|48.63|2014|575923535
166344|50 Y Back|2013-12-07|24.74|2014|544320916
166344|100 Y Back|2013-12-06|52.42|2014|571053994
166344|100 Y Fly|2013-12-07|51.28|2014|624838221
166344|100 Y Free|2013-11-16|49.53|2014|545095569
166344|50 Y Back|2013-11-16|25.13|2014|519369740
166344|200 Y Fly|2013-11-16|1:59.31|2014|553667188
166344|100 Y Back|2013-11-09|53.99|2014|522670803
166344|100 Y Fly|2013-11-09|52.24|2014|591019937
166344|50 Y Back|2013-11-02|25.23|2014|513218564
166344|100 Y Back|2013-11-02|55.12|2014|491179911
166344|200 Y Back|2013-11-02|2:02.86|2014|473056096
166344|100 Y Fly|2013-01-19|54.15|2013|530659879
166344|200 Y Fly|2013-01-19|1:59.68|2013|548547933
296605|100 Y Free|2017-01-28|50.60|2017|511241482
296605|200 Y Free|2017-01-28|1:51.18|2017|538629011
296605|50 Y Free|2017-01-14|24.03|2017|434463055
296605|50 Y Free|2017-01-14|23.71|2017|452292621
296605|100 Y Free|2017-01-14|52.36|2017|461401202
296605|50 Y Free|2016-12-02|23.35|2017|473536554
296605|100 Y Free|2016-12-03|50.73|2017|507321244
296605|100 Y Free|2016-12-03|50.59|2017|511544709
296605|200 Y Free|2016-12-02|1:51.49|2017|534148489
296605|50 Y Free|2016-11-12|24.09|2017|431224834
296605|50 Y Free|2016-11-12|24.09|2017|431224834
296605|100 Y Free|2016-11-12|52.75|2017|451242756
296605|100 Y Free|2016-11-05|52.31|2017|462725545
296605|50 Y Free|2016-01-30|23.48|2016|465714635
296605|100 Y Free|2016-01-30|50.25|2016|521998719
296605|200 Y Free|2016-01-30|1:52.12|2016|525194879
296605|50 Y Free|2016-01-16|23.86|2016|443815889
296605|100 Y Free|2016-01-16|52.82|2016|449451097
296605|100 Y Free|2016-01-16|53.41|2016|434720281
296605|200 Y Free|2015-12-03|1:52.78|2016|516028252
296605|50 Y Free|2015-11-14|23.67|2016|454589489
296605|50 Y Free|2015-11-14|24.21|2016|424844300
296605|100 Y Free|2015-11-14|52.09|2016|468613249
296605|50 Y Free|2015-11-07|23.73|2016|451149987
296605|100 Y Free|2015-11-07|51.97|2016|471866868
296605|50 Y Free|2015-01-31|22.93|2015|500036837
296605|100 Y Free|2015-01-31|49.61|2015|542462791
296605|200 Y Free|2015-01-31|1:52.56|2015|519059922
296605|100 Y Free|2015-01-24|52.08|2015|468883239
296605|100 Y Free|2015-01-17|52.05|2015|469694456
296605|200 Y Free|2015-01-17|1:56.17|2015|472158467
296605|50 Y Free|2014-12-05|23.16|2015|485286823
296605|50 Y Free|2014-12-05|23.17|2015|484658755
296605|100 Y Free|2014-12-06|50.70|2015|508222347
296605|200 Y Free|2014-12-05|1:54.15|2015|497670620
296605|100 Y Free|2014-11-15|52.07|2015|469153437
296605|50 Y Free|2014-11-08|24.04|2015|433921105
296605|100 Y Free|2014-11-08|52.39|2015|460609022
